subject_heading,frequency
"Bramhall, John, 1594-1663.",1
"Barlee, William. --  Praedestination as before privately, so now at last openly defended against post-destination in a correptorie correction.",1
Sexual ethics --  Early works to 1800.,1
"Vernon, George, 1637-1720. --  Life of ... Dr. P. Heylyn.",1
Kingdom of God --  Sermons.,1
"Bible. --  N.T. --  Luke XIX, 14 --  Sermons.",1
"Great Britain --  History --  Edward III, 1327-1377.",1
Charities --  Sermons.,1
Obedience --  Sermons.,1
"Dissenters, Religious --  Netherlands.",1
"Ludlow, Edmund, 1617?-1692. --  Memoirs.",1
Husband and wife --  England --  Early works to 1800.,1
Forms (Law) --  England.,1
Presbyterianism --  Apologetic works.,1
Popes --  Primacy.,1
Rivers.,1
Rain and rainfall.,1
Litterateurs.,1
Jesus Christ --  Name.,1
Perfection --  Religious aspects --  Catholic Church --  Early works to 1800.,1
Asceticism --  16th century.,1
Missions --  American.,1
"Popish Plot, 1678 --  Sources.",1
Freedom of religion --  England --  17th century.,1
Hydraulic engineering --  Early works to 1800.,1
Fountains --  Early works to 1800.,1
"Barrel organ, Hydraulic --  Early works to 1800.",1
"Alexander --  VII, --  Pope, 1599-1667.",1
"Clement --  IX, --  Pope, 1600-1669.",1
"Bible. --  N.T. --  Romans I, 15 --  Sermons.",1
"Bible. --  O.T. --  Psalms XVIII, 48-49 --  Sermons.",1
Patriarchs and patriarchate.,1
"Cotton, John, 1584-1652. --  Way of Congregational churches cleared.",1
Martyrdom.,1
"Cawton, Thomas, 1605-1659.",1
Couplets.,1
"Geneviève, --  Saint, ca. 420-ca. 500.",1
"Turner, Anthony, 1628 or 9-1679.",1
"Whitbread, Thomas, 1618-1679.",1
"Gawen, John, 1640-1679.",1
"Caldwell, John, 1628-1679.",1
"Barrow, William, 1610-1679.",1
Kings and rulers --  History.,1
"Chamberlayne, Edward, 1616-1703. --  England's wants.",1
"Briscoe, John, fl. 1695.",1
Great Britain --  Economic policy.,1
"Bushnell, Walter, 1609-1667. --  Narrative of the proceedings of the commissioners appointed by O. Cromwel.",1
"Smith, Nathanael, d. 1691?",1
Funeral sermons --  England.,1
Bible --  Hermeneutics --  Early works to 1800.,1
Fanaticism.,1
"Caesar, Julius. --  De bello Gallico. --  English.",1
"Caesar, Julius. --  De bello civili. --  English.",1
Gaul --  History --  58 B.C.-511 A.D.,1
"Evelyn, John, 1620-1706. --  Character of England.",1
France --  Anecdotes,1
"Blaw, --  Mr. --  Suadela vitrix.",1
"William --  II, --  King of England, 1056?-1100.",1
"Henry --  II, --  King of England, 1133-1189.",1
"English literature --  Early modern, 1500-1700 --  Anecdotes",1
Snakes.,1
Pharmacopoeias --  England --  Early works to 1800.,1
"Sulaymān --  I, --  Shah of Iran, 1658 or 9-1694.",1
Philanthropists --  England --  Biography.,1
Trials (Treason) --  England --  17th century.,1
"Bolton, Samuel, 1606-1654 --  Sermons.",1
"Bible. --  N.T. --  Philippians III, 20-21 --  Sermons.",1
"Stephens, Samuel, 1666 or 7-1694.",1
"Bible. --  N.T. --  John IX, 4 --  Sermons.",1
Sermons --  English --  London --  17th century,1
Vows.,1
"Rule, Margaret.",1
"Parris, Samuel, 1653-1720.",1
"Mather, Cotton, 1663-1728. --  Wonders of the invisible world.",1
"Mather, Cotton, 1663-1728. --  Pietas in patriam.",1
Jews --  Conversion to Christianity.,1
Law --  Philosophy.,1
Law (Theology) --  Biblical teaching.,1
Science --  History --  Early works to 1800.,1
Atomism.,1
"Köprülü Mehmed Paşa, 1575-1661.",1
"Köprülü Fazıl Ahmed Paşa, 1635-1676.",1
"Camden, William, 1551-1623. --  Britannia. --  English.",1
"Williams, Daniel, 1643?-1716. --  Gospel-truth stated and vindicated.",1
Neonomianism.,1
Scotland --  Peerage.,1
Bible --  Devotional literature.,1
"Farr, Richard, d. 1665?",1
"Chadwick, Eleanor, d. 1665?",1
Swindlers and swindling --  England.,1
"Cheke, John, --  Sir, 1514-1557.",1
"Kett's Rebellion, 1549.",1
"Bible. --  O.T. --  Ecclesiastes XII, 13-14 --  Sermons.",1
"Bible. --  O.T. --  Psalms CXLVII, 15-18 --  Sermons.",1
"Bible. --  N.T. --  Matthew VII, 12 --  Criticism, interpretation, etc.",1
Land titles --  Registration and transfer --  England --  Early works to 1800.,1
"Bible. --  O.T. --  Chronicles, 2nd, XIII, 5 --  Sermons.",1
School discipline --  Great Britain.,1
Punishment --  Great Britain.,1
"Bacon, Francis, 1561-1626 --  Early works to 1800.",1
Natural history --  Great Britain --  Pre-Linnean works --  Early works to 1800.,1
Angels.,1
"Knott, Edward, 1582-1656. --  Mercy and truth.",1
"Bible. --  O.T. --  Psalms CVII, 23-24 --  Sermons.",1
"Holy League against the Turks, 1684.",1
"Sprint, John. --  The bride-womans counseller.",1
Spain --  Politics and government.,1
Europe --  Politics and government.,1
Prayer --  Church of England.,1
"Cressy, Serenus, 1605-1674. --  Roman-Catholick doctrines, no novelties.",1
Old age.,1
"Marcellus, Marcus Claudius, d. 45 B.C.",1
Brief account of the designs which the papists have had against the Earl of Shaftsbury.,1
"Allen, Richard, ca. 1640-1717. --  A brief vindication of an essay to prove singing of Psalms.",1
"Helmes, Henry.",1
"Bible. --  O.T. --  Ezra IX, 9 --  Sermons.",1
Helminths --  England.,1
Worms as carriers of disease.,1
"Charlemagne, --  Emperor, 742-814.",1
Epaminondas b. ca. 420 B.C.,1
"Augustus, --  Emperor of Rome, 63 B.C.-14 A.D.",1
Biography --  To 500.,1
"Biography --  Middle Ages, 500-1500.",1
"Jeanne d'Albret, --  Queen of Navarre, 1528-1572.",1
Exempla.,1
"Bensted, Thomas.",1
"Bible. --  O.T. --  Job --  Criticism, interpretation, etc.",1
Liturgies.,1
"Arnauld, Antoine, 1612-1694.",1
Lord's Supper --  Eastern churches.,1
"Palluau, Philippe de Clérembault, --  comte de, 1606-1665.",1
"Méré, Antoine Gombault, --  chevalier de, 1610-1684.",1
France --  History --  Philosophy.,1
"Bible. --  N.T. --  Colossians III, 15 --  Sermons.",1
Textile industry --  Great Britain.,1
Experience (Religion),1
"Thompson, Nathaniel, d. 1687. --  Loyal feast.",1
"Farwell, John.",1
Public health --  England --  London --  Early works to 1800.,1
Galen.,1
"Bourignon, Antoinette, 1616-1680. --  Traitté admirable de la solide vertu.",1
Cults (Scotland),1
Society of Friends --  Massachusetts.,1
"Littleton, Thomas, --  Sir, d. 1481 --  Early works to 1800.",1
"Tuthill, Francis. --  Vindication of some objections lately raised against Dr. J. Colbatch his hypothesis.",1
"Colet, John, 1467?-1519.",1
"Bible. --  N.T. --  Romans XII, 2 --  Sermons.",1
Sermons --  Scotland --  17th century,1
"Calendar, Jewish.",1
"Vanbrugh, John, --  Sir, 1664-1726. --  Short vindication of The relapse and The provoked wife, from immorality and prophaneness.",1
Theater --  England --  Early works to 1800.,1
"Drake, James, 1667-1707. --  Ancient and modern stages survey'd.",1
"Courten, Catharine Egerton, --  Lady, d. 1652.",1
"Hobart, Frances Egerton, --  Lady, 1603-1664.",1
"Falkner, William, d. 1682. --  A vindication of liturgies.",1
"Dissenters, Religious --  England --  Apologetic works.",1
"Derodon, David, ca. 1600-1664. --  Tombeau de la messe. --  English.",1
"Bagshaw, Edward, 1629-1671. --  Letter unto a person of honor and quality.",1
"Courten, William, d. 1655 --  Claims vs. Nederlandsche Oost-Indische Compagnie.",1
"Montgomery, James, --  Sir, d. 1694. --  Great Britain's just complaint for her late measures, present sufferings, and the future miseries she is exposed to.",1
Jesuits --  Great Britain.,1
"Baronio, Cesare, 1538-1607. --  Annules ecclesiastici.",1
Literary forgeries and mystifications.,1
Bohemian Brethren. --  Government.,1
Bohemian Brethren. --  Discipline.,1
Europe --  History.,1
Schools --  England.,1
Schools --  Early works to 1800.,1
Fruit trees --  Netherlands --  Early works to 1800.,1
Church of England. --  Book of common prayer --  Controversial literature.,1
Sovereign of the Seas (Ship),1
"Anglo-Dutch War, 1652-1654.",1
English language --  Study and teaching.,1
"Pindar, Paul, --  Sir, 1565 or 6-1650.",1
Statesmen --  England --  Biography.,1
Catholic converts --  England.,1
"Warner, Trevor Hanmer, --  Lady, 1636-1670.",1
Poor Clares --  Biography.,1
Catholics --  England --  Biography.,1
Thieves --  England.,1
"Philosophy, Chinese.",1
Ethics --  China.,1
"Bible. --  O.T. --  Psalms XXI, 3 --  Sermons.",1
Coronation sermons.,1
"Popish Plot, 1678 --  Anecdotes.",1
Forests and forestry --  Early works to 1800.,1
Chemistry --  Bibliography.,1
Alchemy --  Bibliography.,1
"Bible. --  O.T. --  Pslams LXXVII, 20 --  Sermons.",1
Church and state --  Church of England --  Sermons.,1
Lord's Supper --  Real presence.,1
"Condé, Louis, --  prince de, 1621-1686.",1
Trout fishing.,1
Grayling fishing.,1
"Henden, Simon. --  Key of Scripture-prophecies.",1
"Cawdrey, Daniel, 1588-1664. --  Independency further proved to be a schism.",1
"Henry --  I, --  King of England, 1068-1135.",1
"Tower of London (London, England)",1
"Henry, --  King of England, 1207-1272 --  Early works to 1800.",1
Great Britain --  Foreign relations --  1154-1399 --  Early works to 1800.,1
France --  Foreign relations --  England --  Early works to 1800.,1
Schism --  Controversial literature.,1
Obedience --  Biblical teaching.,1
"Bible. --  O.T. --  Isaiah XXII, 23 --  Sermons.",1
"Bible. --  O.T. --  Ezekiel X, 13 --  Sermons.",1
"Carter, John, 1554-1635.",1
"Bible. --  N.T. --  Revelation V, 5 --  Sermons.",1
"Colbert, Jean Baptiste, 1619-1683.",1
Game laws --  England.,1
One-act plays.,1
"Collier, Thomas, fl. 1691. --  Additional word.",1
Ireland --  History --  1172-,1
Pharmacist and patient.,1
Banks and banking --  England --  Early works to 1800.,1
Bible. --  N.T. --  Acts and Epistles --  History of Biblical events.,1
"Bible. --  N.T. --  Acts and Epistles --  Criticism, interpretation, etc.",1
Apostles --  History.,1
Bible. --  O.T. --  History of Biblical events.,1
Jews --  History --  To 70 A.D.,1
"Cradock, Samuel, 1621?-1706. --  Knowledge and practise.",1
Baptists --  Early works to 1800.,1
Scotland --  Constitutional history.,1
"Bible. --  N.T. --  John VI, 27 --  Criticism, interpretation, etc.",1
"Bible. --  N.T. --  John VI, 27 --  Commentaries.",1
"Clarendon, Edward Hyde, --  Earl of, 1609-1674. --  Fanaticism fanatically imputed to the Catholick Church by Dr. Stillingfleet.",1
Catholic converts.,1
"Pierce, Thomas, 1622-1691. --  Primitive rule of reformation.",1
"Cartwright, Christopher, 1602-1658.",1
Bible. --  O.T. --  Psalms XV --  Commentaries.,1
Society of Friends --  England --  History.,1
Society of Friends --  New England --  History.,1
"Bible. --  N.T. --  Matthew XIX, 24 --  Sermons.",1
Wealth --  Biblical teaching.,1
Moral education.,1
"Cromwell, Elizabeth, d. 1665 --  Anecdotes.",1
"Bible. --  O.T. --  Acts VII, 60 --  Sermons.",1
"James --  II, --  King of England, 1633-1701 --  Sermons.",1
"Ward, Constancy, d. 1697.",1
Sermons --  Early works to 1800.,1
"Domestics --  Handbooks, manuals, etc.",1
"United States --  History --  Colonial period, ca. 1600-1775.",1
Great Britain --  Colonies --  America.,1
France --  Kings and rulers --  History.,1
Wonder.,1
World history.,1
Wales --  History --  To 1536.,1
Religions.,1
Rites and ceremonies.,1
Grace at meals.,1
"Henry --  VI, --  King of England, 1421-1471.",1
"Burthogge, Richard, 1638?-ca. 1700.",1
"Moreto, Agustín, 1618-1669. --  No puede ser.",1
Devotional calendars --  Catholic Church --  Early works to 1800.,1
Jesus Christ --  Example --  Sermons.,1
"Bible. --  N.T. --  Corinthians, 1st, XV, 57 --  Sermons.",1
Canterbury Cathedral.,1
Eccentrics and eccentricities.,1
Materia medica.,1
"Manley, Thomas, 1628-1690. --  Usury at six per cent. examined, and found unjustly charged by Sir Tho. Culpepper and J.C. with many crimes and oppressions, whereof 'tis altogether innocent --  Controversial literature --  Early works to 1800.",1
"Bible. --  N.T. --  Corinthians, 1st, XIII, 12 --  Criticism, interpretation, etc.",1
Scotland --  Antiquities.,1
Bible. --  O.T. --  Job VIII-X --  Commentaries.,1
Law --  Scotland --  Early works to 1800.,1
"Mary, --  Blessed Virgin, Saint --  Cult.",1
Bible. --  O.T. --  Job XXXII-XXXIV --  Commentaries.,1
Bible. --  O.T. --  Job XXXVIII-XXXXII --  Commentaries.,1
Christian ethics --  Sermons.,1
"Indians, Treatment of --  Early works to 1800.",1
"Indians, Treatment of --  Latin America.",1
Enthusiasm.,1
"Bacon, William. --  A Key to Helmont.",1
"Bible. --  N.T. --  Thessalonians, 1st, IV --  Commentaries.",1
England and Wales. --  Army --  Regulations.,1
"Bunyan, John, 1628-1688. --  Confession of my faith and a reason of my practice.",1
Fellowship --  Religious aspects.,1
"Rymer, Thomas, 1641-1713. --  Short view of tragedy.",1
"Blackmore, Richard, --  Sir, d. 1729. --  Prince Arthur.",1
"Daffy, Thomas.",1
Elixirs --  Early works to 1800.,1
Water --  Analysis --  Early works to 1800.,1
Water --  Composition --  Early works to 1800.,1
Water --  Composition --  England --  Ilmington (Warwickshire),1
Clock and watch making.,1
"Hērakleion (Greece) --  History --  Siege, 1667-1669.",1
Crete (Greece) --  History.,1
"Leigh, Richard, 1649 or 50-1728.",1
"Givry, Anne d'Anglure, --  seigneur de, ca. 1560-1594.",1
"Conti, Louise-Marguerite de Lorraine, --  princesse de, 1574-1631.",1
France --  History --  16th century --  Fiction.,1
Fathers of the church --  History and criticism.,1
"Béjart, Armande-Grésinde-Claire-Elisabeth, 1640 or 45-1700 --  Fiction.",1
"Rome --  History --  Augustus, 30 B.C.-14 A.D. --  Fiction.",1
Pawnbrokers --  Anecdotes,1
"Wells, Willie --  Anecdotes",1
Prostitutes.,1
"Turco-Polish Wars, 1683-1699.",1
"Poland --  History --  John III Sobieski, 1674-1696.",1
"Heylyn, Peter, 1600-1662. --  Antidatum Lincolniense.",1
"Heylyn, Peter, 1600-1662. --  Coale from the altar.",1
"Cole, Henry, 1500?-1580.",1
Speech --  Study and teaching --  Early works to 1800.,1
"Ketch, Jack, d. 1686.",1
Philiater.,1
"Turner, Francis, 1638?-1700 --  Early works to 1800.",1
Church of England. --  Diocese of Ely. --  Bishop (1684-1690 : Turner),1
Nonjurors --  Early works to 1800.,1
"Cleveland, Barbara Villiers Palmer, --  Duchess of, 1641-1709.",1
"Shore, Jane, d. 1527?",1
"Gwyn, Nell, 1650-1687.",1
"Belasyse, John Belasyse, --  Baron, 1615-1689.",1
"Owen, John, 1616-1683 --  Early works to 1800.",1
Husbands.,1
"Brome, Henry.",1
Measles --  Early works to 1800.,1
Miracles.,1
"Spenser, Edmund, 1552?-1599. --  Faerie queene --  Early works to 1800.",1
"Bible. --  N.T. --  Thessalonians, 1st, V, 21 --  Sermons.",1
Philosophers.,1
Bible. --  N.T. --  Mark --  Commentaries.,1
"England and Wales. --  Army --  Recruiting, enlistment, etc.",1
Draft --  Great Britain.,1
Motion --  Early works to 1800.,1
"Bible. --  O.T. --  Psalms, I-VIII --  Commentaries.",1
Theism.,1
Classical dictionaries.,1
Rome --  Antiquities --  Dictionaries.,1
Greece --  Antiquities --  Dictionaries.,1
Church of England --  Liturgy --  17th century.,1
Consanguinity.,1
Affinity (Law),1
"Cosin, John, 1594-1672.",1
"Bugg, Francis, 1640-1724? --  Jezebel withstood, and her daughter Anne Docwra, publickly reprov'd --  Controversial literature --  Early works to 1800.",1
"Docwra, Anne, 1624-1710 --  Early works to 1800.",1
Society of Friends --  History --  Early works to 1800.,1
Sanchuniathon. --  Phoenician history. --  English.,1
"Philo, --  of Byblos. --  Phoenician history. --  English.",1
"Mythology, Phoenician.",1
"Dorney, Henry, 1613-1683?",1
Gloucester (England) --  Officials and employees.,1
"Bible. --  N.T. --  Corinthians, 1st, VII, 31 --  Sermons.",1
Wealth --  Moral and ethical aspects --  Sermons.,1
"Dorset, Edward Sackville, --  Earl of, 1591-1652.",1
Praise of God.,1
"Bible. --  O.T. --  Genesis IV, 7 --  Sermons.",1
Church of England --  Catechisms --  English.,1
Demonomania.,1
"Simpson, Margaret, d. 1679?",1
Lightning --  Religious aspects.,1
"Wills, Obed. --  Vindiciae vindiciarum.",1
England and Wales. --  Sovereign (1660-1685 : Charles II). --  His Majesties declaration to all his loving subjects.,1
Martyrs --  Legends.,1
Martyrs --  Cult --  Controversial literature.,1
"Settle, Elkanah, 1648-1724 --  Parodies, imitations, etc.",1
"Shakespeare, William, 1564-1616. --  Macbeth.",1
"Shakespeare, William, 1564-1616 --  Parodies, imitations, etc.",1
Painters --  Early works to 1800.,1
"Lucy, Alice, --  Lady, d. 1648.",1
"Bible. --  O.T. --  Psalms LXXXIX, 48 --  Sermons.",1
"Merchant Taylors' Company (London, England) --  History --  Early works to 1800.",1
Heraldry --  England --  Early works to 1800.,1
Nobility --  Ireland.,1
Drainage.,1
Monasteries --  England.,1
Church buildings --  England.,1
Hospitals --  England.,1
Judges --  Great Britain.,1
Law --  Bibliography.,1
Inns of court.,1
